List of markets for the selected product Product: 1005 Maize (corn)
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
Belarus	-23356	-24411	-17328	-39536	-36261	-37746	-54143	-71383	-39801	-36597	-46839	-50274	-56805	407	57212	
Bosnia and Herzegovina			-4754	-34101	-33677	-33000	-41543	-50419	-28879	-36569	-48731	-42935	-58903	539	59442	
Free Zones	-325	-1916	-2357	-2392	-1459	-590	-13112	-3932	-5589	-26857	-68	-48334	-61072	3	61075	
Jamaica	-22111	-26509	-27614	-28538	-42422	-34758	-52426	-64802	-59080	-57036	-80222	-77552	-77186	80	77266	
Ecuador	-7909	-39626	-38266	-62407	-53364	-70059	-124773	-96902	-78287	-132267	-182030	-117832	-79092	299	79391	
Panama	-30046	-36135	-39507		-41122	-37400	-65671	-97544	-79326	-85701	-115908	-96811	-87662	0	87662	
Denmark	-21333	-25654	-31358	-30662	-36314	-42915	-55291	-142368	-57024	-44518	-44990	-61296	-94624	19243	113867	
El Salvador	-55570	-49802	-54156	-68240	-65220	-88353	-136499	-170203	-114802	-116285	-209061	-147244	-97067	5242	102309	
Zimbabwe	119	-31444		-106414	-30527	-94203	-150345	-169911	-104582	-56518	-121272	-267939	-107200	1484	108684	
Lebanon	-31954	-36306	-40320	-49407	-38232	-39864	-73442	-94618	-74481	-83825	-129834	-114806	-111416	123	111539	
Honduras	-70018	-30986	-22428	-29849	-39641	-52463	-49448	-65317	-90297	-85004	-147081	-118963	-111902	1811	113713	
Greece	-83203	-90466	-86666	-109680	-44103	-109519	-195666	-174661	-47097	-97968	-155214	-62052	-126005	20382	146387	
Syrian Arab Republic	-36002	-98514	-104939	-118582	-195398	-182335	-239904	-258142	-359907	-420770	-422841	-181765	-126259	0	126259	
Bangladesh	-43796	-34622	-33620	-16597	-25148	-32206	-31553	-11170	-102465	-156218	-138963	-56841	-129351	0	129351	
United Arab Emirates					-26468		-34758	-52471	-68328	199038	533221	-123102	-134145	1880	136025	
Philippines	-28730	-55054	-21411	-13285	-26906	-58139	-47923	-24471	-103316	-77154	-47984	-87475	-137270	1191	138461	
Yemen				-41478	-46319	-47600	-69897	-89251	-108492	-101082	-149881	-151809	-157526	0	157526	
Libya							-24140	-47062	-45782	-155108	-94223	-162591	-161723	0	161723	
Jordan	-52628	-57314	-73144	-72259		-71753	-109006	-146487	-150143	-156524	-193858	-205524	-180548	7957	188505	
Costa Rica	-55641	-60204	-69153	-91440	-48654	-85470	-143592	-190518	-91674	-143580	-193032	-191056	-190113	66	190179	
Guatemala	-55112	-69708	-65790	-76392	-80792	-107732	-140931	-163166	-143828	-140293	-226523	-220424	-201198	4645	205843	
Ireland	-20779	-24388	-31522	-35910	-28704	-37669	-69752	-110737	-72843	-86676	-89451	-215300	-221307	2344	223651	
Tunisia	-82280	-93245	-67998	-108320	-89615	-81484	-140228	-221491	-126979	-193615	-251624	-251652	-234625	0	234625	
Cuba	-23618	-31297	-49300	-77621	-99723	-80538	-109974	-195993	-124442	-144574	-202032	-227693	-246554	0	246554	
Dominican Republic	-83522	-114238	-109366	-85705	-97220	-146874	-202552	-257027	-164648	-235672	-323595	-318881	-310750	1160	311910	
Israel	-108051	-101795	-127245	-199202	-144641	-173237	-235504	-231958	-159435	-207957	-330930	-333423	-359325	21716	381041	
Turkey	-57302	-122822	-263077	-174672	-25008	23249	-256859	-356990	-53813	-98151	-108196	-212099	-382994	88532	471526	
Belgium	-70991	-76950	-97019	-79036	-85362	-94526	-169441	-229934	-150567	-158311	-266218	-326079	-433390	111399	544789	
Morocco	-116752	-135836	-155997	-201921	-233261	-221550	-446728	-530022	-357793	-444527	-591304	-636174	-479142	10888	490030	
Portugal	-153661	-158699	-191624	-209119	-196766	-233038	-383147	-460472	-285354	-328714	-504916	-484381	-484797	11074	495871	
Peru	-92671	-103721	-118743	-153983	-164183	-213556	-325892	-399968	-311178	-435446	-616127	-552572	-493880	20968	514848	
Germany	-72842	-101870	-87013	-138106	-232429	-245589	-455644	-495264	-412010	-394719	-556619	-476161	-524504	360644	885148	
Saudi Arabia	-146576	-144591	-130577	-146448	-188854	-211734	-465375	-578530	-377956	-471315	-611069	-629266	-574718	278	574996	
United Kingdom	-216049	-208543	-260546	-297320	-265193	-252074	-419502	-341792	-238065	-239043	-327580	-404158	-601300	38975	640275	
Viet Nam	354	-38579	-50668	-7842	-42763	-94630	-103419	-139962	-325687	-452499	-324469	-493316	-638470	5470	643940	
Venezuela	-109839	-53562	-83295	-89274	-37380	-24683		-346657	-309635	-291564	-319335	-569099	-831347	5	831352	
Algeria	-204780	-240334	-211987	-298356	-354698	-337828	-517315	-671330	-407494	-637653	-998550	-941875	-892583	0	892583	
China	620809	1165644	1766446	323422	1095167	400236	867524	61051	11207	-333893	-531006	-1587551	-903355	33171	936526	
Indonesia	-115012	-134648	-163141	-168601	-21802	-273192	-133110	-65126	-63099	-357755	-1019063	-482880	-908247	10643	918890	
Iran (Islamic Republic of)	-224714	-138617	-437871	-335092	-377210	-37157				-919642	-1294008	-1221358	-953980	14	953994	
Malaysia	-215229	-259227	-274083	-338287	-366830	-395615	-614349	-674260	-568243	-767174	-931995	-926521	-989564	6011	995575	
Colombia	-200360	-249444	-263240	-331754	-321306	-461892	-678091	-932359	-665887	-801119	-923319	-996480	-1010674	11704	1022378	
Netherlands	-241610	-280210	-322529	-415920	-352349	-408126	-803153	-1047381	-647210	-618410	-992475	-1058812	-1133203	215968	1349171	
