Date,Open,High,Low,Close,Volume,Adjusted Close
2013-01-03,809.38,812.75,806.6,808.63,0.0,808.63
2013-01-04,808.72,813.65,808.39,812.88,0.0,812.88
2013-01-07,811.81,811.81,807.64,810.42,0.0,810.42
2013-01-08,809.61,809.86,804.9,807.95,0.0,807.95
2013-01-09,808.76,812.32,808.76,810.48,0.0,810.48
2013-01-10,812.75,816.27,810.4,816.16,0.0,816.16
2013-01-11,815.96,816.55,813.67,816.25,0.0,816.25
2013-01-14,815.28,816.3,812.95,815.73,0.0,815.73
2013-01-15,813.86,817.55,812.05,817.05,0.0,817.05
2013-01-16,816.54,817.59,814.33,816.84,0.0,816.84
2013-01-17,818.24,823.82,818.24,821.61,0.0,821.61
2013-01-18,820.92,824.29,818.85,824.29,0.0,824.29
2013-01-22,824.27,828.15,821.94,828.15,0.0,828.15
2013-01-23,828.83,829.95,826.65,829.22,0.0,829.22
2013-01-24,827.13,833.67,827.13,829.68,0.0,829.68
2013-01-25,830.35,834.68,830.35,834.6,0.0,834.6
2013-01-28,834.75,834.84,830.8,832.96,0.0,832.96
2013-01-29,832.5,837.29,831.51,836.58,0.0,836.58
2013-01-30,836.45,837.73,832.33,833.33,0.0,833.33
2013-01-31,833.08,834.6,830.72,831.74,0.0,831.74
2013-02-01,833.65,840.62,833.65,839.94,0.0,839.94
2013-02-04,839.93,839.93,830.05,830.43,0.0,830.43
2013-02-05,831.98,840.79,831.98,838.92,0.0,838.92
2013-02-06,837.2,839.89,835.4,839.76,0.0,839.76
2013-02-07,839.78,840.17,832.26,838.2,0.0,838.2
2013-02-08,839.5,843.08,839.5,843.08,0.0,843.08
2013-02-11,843.06,843.06,840.6,842.41,0.0,842.41
2013-02-12,842.36,845.33,841.75,843.88,0.0,843.88
2013-02-13,844.18,846.74,841.99,844.46,0.0,844.46
2013-02-14,844.37,845.97,841.1,845.05,0.0,845.05
2013-02-15,845.06,846.61,841.28,844.24,0.0,844.24
2013-02-19,844.92,850.22,844.92,850.22,0.0,850.22
2013-02-20,849.83,849.83,839.04,839.32,0.0,839.32
2013-02-21,837.98,837.98,830.63,833.56,0.0,833.56
2013-02-22,835.01,841.03,835.01,841.02,0.0,841.02
2013-02-25,841.01,846.47,825.82,825.82,0.0,825.82
2013-02-26,827.13,831.87,824.14,830.84,0.0,830.84
2013-02-27,830.67,843.8,829.95,841.55,0.0,841.55
2013-02-28,841.4,846.65,840.85,840.97,0.0,840.97
2013-03-01,839.66,843.42,833.31,842.54,0.0,842.54
2013-03-04,842.22,846.47,839.34,846.45,0.0,846.45
2013-03-05,848.35,856.64,848.35,854.76,0.0,854.76
2013-03-06,855.75,857.86,853.98,855.8,0.0,855.8
2013-03-07,856.18,858.31,856.05,857.5,0.0,857.5
2013-03-08,859.28,862.28,856.86,861.63,0.0,861.63
2013-03-11,860.86,864.28,859.47,864.28,0.0,864.28
2013-03-12,863.67,864.58,859.91,862.25,0.0,862.25
2013-03-13,861.97,864.58,860.02,863.59,0.0,863.59
2013-03-14,864.64,868.51,864.64,868.49,0.0,868.49
2013-03-15,868.62,868.62,864.42,866.97,0.0,866.97
2013-03-18,864.11,865.91,858.32,862.35,0.0,862.35
2013-03-19,863.54,865.22,854.82,860.17,0.0,860.17
2013-03-20,862.2,867.78,862.2,866.28,0.0,866.28
2013-03-21,863.81,864.37,857.84,859.13,0.0,859.13
2013-03-22,859.19,865.38,859.19,864.91,0.0,864.91
2013-03-25,866.26,869.4,859.04,862.07,0.0,862.07
2013-03-26,863.72,868.6,863.72,868.59,0.0,868.59
2013-03-27,866.35,868.99,861.93,868.34,0.0,868.34
2013-03-28,868.25,872.68,867.48,872.11,0.0,872.11
2013-04-01,872.09,872.77,865.73,867.83,0.0,867.83
2013-04-02,869.2,873.76,868.82,871.39,0.0,871.39
2013-04-03,871.58,872.08,859.56,861.76,0.0,861.76
2013-04-04,862.1,866.53,861.17,865.33,0.0,865.33
2013-04-05,861.67,862.57,853.95,861.85,0.0,861.85
2013-04-08,861.62,867.49,859.41,867.49,0.0,867.49
2013-04-09,868.49,873.21,866.21,870.31,0.0,870.31
2013-04-10,871.21,881.55,871.21,880.91,0.0,880.91
2013-04-11,880.41,886.33,880.26,884.24,0.0,884.24
2013-04-12,883.18,883.18,876.88,881.78,0.0,881.78
2013-04-15,880.15,880.15,860.73,860.76,0.0,860.76
2013-04-16,862.81,873.57,862.81,873.22,0.0,873.22
2013-04-17,870.56,870.56,856.05,860.71,0.0,860.71
2013-04-18,861.79,862.0,851.9,854.93,0.0,854.93
2013-04-19,854.66,863.17,854.31,862.87,0.0,862.87
2013-04-22,863.9,868.44,858.72,866.73,0.0,866.73
2013-04-23,868.8,876.17,867.49,875.77,0.0,875.77
2013-04-24,875.49,878.14,874.09,875.95,0.0,875.95
2013-04-25,877.23,883.78,877.23,879.7,0.0,879.7
2013-04-26,878.84,880.03,875.36,877.95,0.0,877.95
2013-04-29,877.94,885.83,877.94,884.23,0.0,884.23
2013-04-30,884.22,886.89,880.42,886.89,0.0,886.89
2013-05-01,886.38,886.38,877.53,878.27,0.0,878.27
2013-05-02,878.13,886.82,878.13,886.29,0.0,886.29
2013-05-03,889.09,897.73,889.09,895.34,0.0,895.34
2013-05-06,895.53,898.49,895.31,897.34,0.0,897.34
2013-05-07,898.15,902.24,896.91,902.22,0.0,902.22
2013-05-08,901.64,906.14,900.54,906.14,0.0,906.14
2013-05-09,905.59,907.34,900.97,902.8,0.0,902.8
2013-05-10,903.29,906.92,901.47,906.92,0.0,906.92
2013-05-13,906.02,908.0,903.05,906.75,0.0,906.75
2013-05-14,906.76,916.33,906.76,915.98,0.0,915.98
2013-05-15,915.05,922.0,914.02,920.54,0.0,920.54
